Land-Ocean: Southern Hemispheric Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,.01,.04,.06,-.01,-.12,-.24,-.17,.07,-.05,-.14,.00,.06,-.04,***,***,-.02,-.11,-.06
1881,-.08,-.06,.10,.10,.09,-.05,-.07,-.02,-.04,.00,.00,.10,.01,.00,-.03,.10,-.05,-.01
1882,.07,.07,.07,-.01,-.04,-.15,-.04,.01,-.04,.04,-.01,-.07,-.01,.01,.08,.01,-.06,.00
1883,-.02,-.08,-.08,-.07,-.09,-.02,-.08,-.05,-.10,-.05,-.04,-.06,-.06,-.06,-.05,-.08,-.05,-.06
1884,-.08,-.05,-.10,-.21,-.31,-.29,-.21,-.06,-.11,-.06,-.10,-.15,-.14,-.14,-.06,-.21,-.19,-.09
1885,-.19,-.22,-.29,-.35,-.32,-.42,-.33,-.22,-.19,-.12,-.10,-.09,-.24,-.24,-.19,-.32,-.32,-.14
1886,-.14,-.19,-.16,-.19,-.15,-.31,-.21,-.18,-.14,-.23,-.14,-.28,-.20,-.18,-.14,-.17,-.24,-.17
1887,-.36,-.43,-.27,-.31,-.34,-.27,-.26,-.16,-.29,-.22,-.24,-.22,-.28,-.29,-.36,-.31,-.23,-.25
1888,-.20,-.13,-.21,-.19,-.29,-.31,-.20,-.10,-.04,.06,.07,.15,-.11,-.15,-.18,-.23,-.20,.03
1889,.08,.03,.13,.03,.02,-.13,-.07,-.19,-.17,-.09,-.05,-.03,-.04,-.02,.09,.06,-.13,-.11
1890,-.20,-.32,-.33,-.34,-.43,-.33,-.32,-.39,-.38,-.39,-.24,-.16,-.32,-.31,-.18,-.37,-.34,-.34
1891,-.20,-.25,-.20,-.19,-.17,-.28,-.23,-.22,-.23,-.15,-.10,-.05,-.19,-.20,-.20,-.18,-.24,-.16
1892,-.08,-.06,-.14,-.21,-.22,-.37,-.25,-.21,-.12,.00,-.03,-.11,-.15,-.15,-.06,-.19,-.28,-.05
1893,-.12,-.17,-.12,-.24,-.24,-.32,-.14,-.17,-.16,-.08,-.03,-.03,-.15,-.16,-.13,-.20,-.21,-.09
1894,-.14,-.15,-.24,-.35,-.35,-.40,-.26,-.20,-.23,-.17,-.03,-.06,-.22,-.21,-.11,-.31,-.29,-.15
1895,-.12,-.06,-.16,-.25,-.24,-.21,-.14,-.06,-.18,-.11,-.20,-.05,-.15,-.15,-.08,-.21,-.14,-.16
1896,-.08,-.07,-.03,-.01,-.14,-.29,-.04,.01,-.02,.09,.13,.13,-.03,-.04,-.06,-.06,-.11,.07
1897,.10,.08,.12,.00,-.15,-.16,-.08,-.11,-.10,-.09,-.09,-.12,-.05,-.03,.10,-.01,-.11,-.09
1898,-.09,-.15,-.23,-.33,-.33,-.30,-.32,-.36,-.25,-.31,-.25,-.20,-.26,-.25,-.12,-.30,-.33,-.27
1899,-.19,-.13,-.14,-.18,-.21,-.27,-.15,-.10,-.05,-.11,-.08,-.05,-.14,-.15,-.17,-.17,-.17,-.08
1900,-.10,.03,-.04,-.07,-.13,-.09,-.13,-.08,-.06,-.01,.01,-.09,-.06,-.06,-.04,-.08,-.10,-.02
1901,-.10,-.12,-.14,-.15,-.18,-.24,-.29,-.24,-.17,-.26,-.13,-.14,-.18,-.18,-.11,-.16,-.26,-.18
1902,-.18,-.14,-.17,-.18,-.24,-.22,-.22,-.30,-.24,-.26,-.25,-.23,-.22,-.21,-.15,-.20,-.25,-.25
1903,-.24,-.22,-.30,-.36,-.36,-.39,-.27,-.35,-.50,-.47,-.43,-.46,-.36,-.34,-.23,-.34,-.34,-.47
1904,-.50,-.55,-.55,-.51,-.59,-.48,-.41,-.42,-.47,-.37,-.25,-.30,-.45,-.46,-.50,-.55,-.44,-.36
1905,-.26,-.34,-.19,-.20,-.28,-.27,-.30,-.16,-.16,-.20,-.20,-.07,-.22,-.24,-.30,-.22,-.24,-.19
1906,.03,-.03,-.15,-.13,-.26,-.27,-.17,-.22,-.31,-.22,-.34,-.32,-.20,-.18,-.02,-.18,-.22,-.29
1907,-.26,-.28,-.23,-.28,-.32,-.31,-.29,-.28,-.27,-.24,-.35,-.34,-.29,-.29,-.29,-.28,-.29,-.28
1908,-.33,-.36,-.38,-.39,-.45,-.45,-.33,-.34,-.40,-.42,-.39,-.42,-.39,-.38,-.35,-.41,-.37,-.40
1909,-.49,-.45,-.40,-.51,-.58,-.51,-.44,-.31,-.40,-.44,-.51,-.54,-.47,-.46,-.45,-.50,-.42,-.45
1910,-.48,-.45,-.52,-.43,-.37,-.31,-.29,-.32,-.33,-.49,-.52,-.51,-.42,-.42,-.49,-.44,-.31,-.45
1911,-.52,-.55,-.57,-.60,-.57,-.66,-.45,-.43,-.42,-.32,-.20,-.10,-.45,-.49,-.53,-.58,-.52,-.31
1912,-.13,-.11,-.13,-.17,-.28,-.31,-.31,-.29,-.34,-.28,-.24,-.28,-.24,-.22,-.11,-.19,-.30,-.29
1913,-.23,-.24,-.37,-.28,-.31,-.39,-.19,-.20,-.26,-.23,-.23,-.14,-.26,-.27,-.25,-.32,-.26,-.24
1914,-.07,-.08,-.11,-.18,-.21,-.27,-.12,-.04,-.02,-.03,-.06,.00,-.10,-.11,-.09,-.17,-.14,-.04
1915,-.12,.03,.06,.07,-.08,-.29,-.12,-.26,-.18,-.20,-.21,-.17,-.12,-.11,-.03,.01,-.22,-.20
1916,-.15,-.12,-.17,-.26,-.32,-.48,-.40,-.20,-.24,-.32,-.47,-.51,-.30,-.27,-.14,-.25,-.36,-.34
1917,-.63,-.59,-.53,-.46,-.38,-.38,-.18,-.06,-.15,-.26,-.35,-.28,-.35,-.37,-.57,-.46,-.21,-.25
1918,-.26,-.23,-.25,-.30,-.36,-.27,-.28,-.26,-.08,-.05,.02,.00,-.19,-.22,-.26,-.30,-.27,-.04
1919,.00,-.05,-.02,-.01,-.13,-.32,-.25,-.37,-.31,-.30,-.33,-.28,-.20,-.17,-.02,-.06,-.31,-.31
1920,-.32,-.22,-.24,-.27,-.31,-.44,-.33,-.20,-.08,-.12,-.07,-.20,-.23,-.24,-.27,-.27,-.32,-.09
1921,-.27,-.27,-.35,-.43,-.34,-.37,-.25,-.21,-.19,-.05,-.16,-.21,-.26,-.26,-.25,-.38,-.28,-.13
1922,-.27,-.25,-.19,-.30,-.47,-.45,-.27,-.29,-.29,-.33,-.17,-.23,-.29,-.29,-.24,-.32,-.34,-.26
1923,-.37,-.32,-.29,-.28,-.28,-.34,-.32,-.38,-.43,-.32,-.19,-.17,-.31,-.31,-.31,-.28,-.35,-.31
1924,-.16,-.25,-.18,-.33,-.29,-.32,-.34,-.46,-.41,-.47,-.52,-.50,-.35,-.32,-.19,-.27,-.37,-.47
1925,-.50,-.43,-.33,-.35,-.36,-.38,-.27,-.20,-.33,-.24,-.11,-.08,-.30,-.33,-.48,-.35,-.28,-.22
1926,-.11,-.12,-.14,-.11,-.22,-.29,-.33,-.19,-.24,-.27,-.28,-.28,-.22,-.20,-.10,-.16,-.27,-.26
1927,-.25,-.27,-.30,-.34,-.37,-.40,-.29,-.31,-.27,-.24,-.19,-.26,-.29,-.29,-.27,-.34,-.33,-.24
1928,-.29,-.26,-.26,-.23,-.41,-.44,-.28,-.26,-.26,-.28,-.22,-.29,-.29,-.29,-.27,-.30,-.32,-.26
1929,-.33,-.36,-.46,-.47,-.48,-.47,-.38,-.44,-.30,-.26,-.19,-.41,-.38,-.37,-.33,-.47,-.43,-.25
1930,-.46,-.34,-.33,-.33,-.27,-.31,-.36,-.29,-.27,-.23,-.07,-.16,-.29,-.31,-.40,-.31,-.32,-.19
1931,-.18,-.15,-.12,-.22,-.22,-.29,-.13,-.16,-.29,-.25,-.36,-.19,-.21,-.21,-.16,-.19,-.19,-.30
1932,-.08,-.15,-.15,-.21,-.24,-.41,-.33,-.34,-.30,-.30,-.21,-.30,-.25,-.24,-.14,-.20,-.36,-.27
1933,-.26,-.27,-.26,-.31,-.31,-.36,-.29,-.33,-.31,-.33,-.38,-.35,-.31,-.31,-.28,-.30,-.33,-.34
1934,-.29,-.39,-.32,-.33,-.27,-.27,-.17,-.14,-.16,-.25,-.20,-.22,-.25,-.26,-.35,-.30,-.19,-.20
1935,-.26,-.29,-.31,-.38,-.28,-.38,-.37,-.36,-.34,-.21,-.18,-.16,-.29,-.30,-.26,-.33,-.37,-.24
1936,-.25,-.24,-.29,-.33,-.31,-.47,-.27,-.28,-.24,-.12,-.11,-.17,-.26,-.25,-.21,-.31,-.34,-.16
1937,-.23,-.18,-.17,-.25,-.22,-.23,-.20,-.12,-.10,-.15,-.07,-.13,-.17,-.17,-.19,-.21,-.18,-.11
1938,-.18,-.21,-.15,-.20,-.22,-.28,-.18,-.21,-.15,-.04,-.17,-.13,-.18,-.18,-.18,-.19,-.22,-.12
1939,-.14,-.13,-.12,-.12,-.10,-.14,-.15,-.18,-.26,-.15,-.10,.10,-.12,-.14,-.13,-.11,-.16,-.17
1940,.12,.03,.16,.08,.07,.07,.10,.09,.07,-.03,.06,.30,.09,.08,.08,.11,.09,.04
1941,.20,.17,.10,.22,.14,.08,.21,.13,-.03,.23,.29,.26,.17,.17,.22,.15,.14,.16
1942,.19,.14,.12,.10,.06,.00,.01,.00,-.16,-.25,-.08,-.04,.01,.03,.20,.09,.00,-.17
1943,.07,-.05,-.08,-.10,-.10,-.04,.18,-.08,-.03,.00,.03,.09,-.01,-.02,.00,-.09,.02,.00
